text,label
grad eifach so llaa 🙃,neutral
volll nrevt 😡 🤬,negativ
mgea halt scahlich ok 🤔 🙄,neutral
mega gueet lol,positiv
gute dieee 👍 😍,positiv
unentschieden 🤔 halt 😶,neutral
empfehlenswert 😍 🎉,positiv
voll enttäuschend 😭,negativ
extrem einfach unentschieden 🙂 🙄,neutral
gfallt mir,positiv
unentschieden 🙂,neutral
scheen halt 😍 😂,positiv
jo passt csho 🙃,neutral
standard,neutral
eifach grad so i.o. 🤔 halt 🙂,neutral
gfalllt mir ✨,positiv
unnnüütz 😡,negativ
tüür 🤮,negativ
stark 😍 👍,positiv
huuere halt liebs 😍,positiv
huere geut eh 👍,positiv
maal luege 🤔 🙃,neutral
nie wieder 😤,negativ
nichts speziells 🤔,neutral
gfallt mir ❤️,positiv
ist okay 🤔,neutral
mega emga llboed 😤,negativ
ok 🙂,neutral
ricthig eh enttäusschend 👎 👎,negativ
so lala 🙂,neutral
voll sehr guet ❤️ 😍,positiv
so lala,neutral
scheen 🎉,positiv
enttäuscehnd 👎 💔,negativ
huere nie wieder 😤 😢,negativ
huere nunütz 😭 🤨,negativ
stark 😊 😂,positiv
so lala 😐,neutral
mal luege 🙂 😉,neutral
nerrvt 👎,negativ
cool gmacht,positiv
ist okay 🙂,neutral
nice,positiv
mega blöd 👎,negativ
iilebs ✨,positiv
geht so 🙂 🤔,neutral
peinlich 😤,negativ
huere empfehlenswert 😊 …,positiv
schrott 😭 💔,negativ
katasstrpohe 😭,negativ
eifacch tiptop 👍,positiv
mega passt perfekt 😍 😂,positiv
passt so 😐,neutral
passt perfekt eigentlich 👍 😊,positiv
passt perfekt,positiv
cool gmacht ❤️,positiv
nice 🎉 😊,positiv
enttäuschend 💔 😢,negativ
unnütz 💔,negativ
neutral gseh 😐,neutral
schlecht 💔,negativ
nie wieder 😭,negativ
vooll nciihts speziells 😐 🙃,neutral
nichts pseziells 😐 🤔,neutral
unnütz 😭,negativ
jo passt scho 🤔,neutral
so eh lala 🙂 🙃,neutral
unentschieden 🤔,neutral
mega libes 😍 😎,positiv
so lala 🤔,neutral
llibes mal ❤️,positiv
nice 👍,positiv
top sache ❤️,positiv
eifach schrrott,negativ
mega halt schwacch 😡 😉,negativ
uhhere sachlich ok 🙃,neutral
huere gfalllt mir 😊 😎,positiv
peilnicch mal 👎,negativ
huere eh geht so 🙂 🙂,neutral
voll gar nöd guet 🤬,negativ
katastrophe 💔 lol,negativ
grrad so i.o. 🙂 🙂,neutral
gfallt miir 🎉,positiv
mega bloeed 👎,negativ
toop sache 👍 eh,positiv
vlol enttäuschend 😡,negativ
efiach gute diee ❤️,positiv
liebs 😍 😍,positiv
einfach volll kann man machen 😶,neutral
halt neutarl gseh 🙂,neutral
huerre zur kenntnis gonmmme 🙂,neutral
halt uheere so en qutasch 😡 … 💔,negativ
mega halt nictths spezeills 😐 🙃,neutral
mal luege,neutral
grad so i.o. 🙂,neutral
eh mega guet ❤️ 🤣,positiv
schwach 😤,negativ
zur kenntnis gnomme 🙂,neutral
mal eifach bin zfriede 😊,positiv
hammer 🎉 😍,positiv
mega blöd,negativ
huree shclecht 😤 👎,negativ
scheen 😊,positiv
isch okay 🙂 lol 😐,neutral
sachlich ok 😐,neutral
extrem grad gheet so 🙃,neutral
voll nie wieder 😭 😉,negativ
rgad rihctig nice,positiv
mggea ennrvt eh 😡,negativ
so en qqautsch 🤬,negativ
vooll empfehelnswert 🎉,positiv
etxrem jo passt eigentlich scho 🤔 … 😐,neutral
enttäuschend 💔,negativ
nie wieder 👎,negativ
halt jo passt shco 🙂 lol 🤔,neutral
richtig scheen grad ✨,positiv
liebs,positiv
geht so 🙂 😶,neutral
gfallt mir ✨,positiv
eiffach nice 👍 🤨,positiv
nichts speziells,neutral
tüür 💔 😡,negativ
isst oaky mal 😐 🤔,neutral
extrem geht so 😐,neutral
passt perfekt 😍,positiv
vooll kttaastrophe 😡,negativ
grad so i.o. 😐,neutral
hlat empfehlenswert ✨ 😊,positiv
schlecht 😢,negativ
unnütz 👎,negativ
passt so 🤔 🙃,neutral
funktioniert nid 😤,negativ
sachlich ok 🙂 🙃,neutral
mgea iscch okay 🙂 haha,neutral
mal luuege 😐 😶,neutral
nichts speziells 🙂,neutral
isch okay 🙂,neutral
kann maan machen 😶,neutral
ist okay 😐,neutral
mal mega guet ✨ 🎉,positiv
voll schrott 😭,negativ
unnüütz 👎,negativ
voll hamemr 😎,positiv
eh eifach neutral gseh 😐 🙂,neutral
huere isch okay 🙂 grad 🙄,neutral
schlächt 💔,negativ
huere hammeer einfach 🎉 haha ✨,positiv
mega zur kenntnis gnomme 🤔 🤔,neutral
grrad so eigentlich i.o. 🤨 🙂,neutral
schlächt 👎 😭,negativ
uhere gute diee 😊 ❤️,positiv
voll gard so i.o. 🤔 😐,neutral
empfehlenswert ✨,positiv
liebs grad 🎉 ❤️,positiv
nichts spezieells 🤔 🙂,neutral
gafllt miir 😊 👍,positiv
liebs 😊,positiv
fuunktioniert nid 😭 😭,negativ
liebs 😍,positiv
etttxrem ok 🙃,neutral
